id,name ,latitude,longtitude ,stationId
1,Sophia Rd,1.30877,103.845354,1
2,Sim Lim Square,1.303119,103.852532,1
3,Middle Rd,1.297147,103.855697,1
4,High St,1.290216,103.849946,1
5,Clemenceau Ave,1.293091,103.84366,1
6,Lloyd Rd,1.297169,103.840784,1
7,Hullet Rd,1.303119,103.839313,1
8,Sunbird Avenue,1.338482,103.959443,2
9,SUTD,1.341462,103.964273,2
10,Changi Business Park Vista,1.337352,103.96734,2
11,Upper Changi Road,1.325451,103.958521,2
12,Bedok North Ave 4,1.336043,103.949273,2
13,Simei,1.340105,103.951046,2
14,St Franci Rd,1.324548,103.863515,3
15,Kolam Ayer CC,1.324607,103.868012,3
16,Kallang Place,1.317593,103.866352,3
17,City View,1.317048,103.860556,3
18,Towner Rd,1.321809,103.858289,3
19,St Michael's Rd,1.325596,103.864143,3
20,Whampoa Dr,1.322842,103.855621,3
21,Toh Guan Rd,1.33871,103.747325,4
22,Boon Lay Way,1.331216,103.748753,4
23,The Atrium,1.327333,103.74748,4
24,Science Centre Rd,1.333479,103.73632,4
25,Blk 247,1.341503,103.738988,4
26,Blk 287A,1.338067,103.743471,4
